step,loss
0,0.005824204
100,0.005895264
200,0.0059659556
300,0.00766503
400,0.0065706857
500,0.005756062
600,0.008063717
700,0.0053843367
800,0.005521959
900,0.005439813
1000,0.0056812144
1100,0.0052986024
1200,0.0049498626
1300,0.005306164
1400,0.0055311816
1500,0.004893772
1600,0.005110072
1700,0.005430579
1800,0.005261599
1900,0.0049013826
2000,0.005726685
2100,0.004522191
2200,0.0046657985
2300,0.0045839767
2400,0.004115975
2500,0.004022564
2600,0.004245105
2700,0.0044093304
2800,0.0048249536
2900,0.0044763726
3000,0.0042519495
3100,0.0042804265
3200,0.0043225037
3300,0.0047999695
3400,0.004352794
3500,0.0039271098
3600,0.0069469786
3700,0.0044050105
3800,0.004211706
3900,0.004005446
4000,0.004064384
4100,0.00395261
4200,0.003769885
